KEY,LAT,LON,VENDOR_TYPE,STATUS,BUSINESS_NAME,LOCATION,DESCRIPTION
DT36,49.282280404515902,-123.121070522118004,vendor_food,open,Suassy Thai,North Side of 800 Robson St - 30 Metres West of Howe St,Thai Cuisine
C26,49.285532114976299,-123.122623764676007,vendor_food,open,Super Thai,Authorised Parking Meter North Side of 1000 W Georgia St,Thai Cuisine
C5,49.282301179211203,-123.120529317155004,vendor_food,open,Tacofino,Authorised Parking Meter West Side of 700 Howe St,Tacos and Burritos
C4,49.286031000000001,-123.119001999999995,vendor_food,open,Tacofino White Lightening,Authorised Parking Meter West Side 500 Burrard St,Tacos and Burritos
DT32,49.285173911567398,-123.111358832752003,vendor_food,open,Tandoori Tikka Dog,North Side of 500 W Cordova St - 59 Metres West of Richards St,Hot Dogs
DT73,49.279797258236798,-123.114194279396997,vendor_food,open,Tandoori Tikka Dog,South Side of 200 West Georgia St - 8 Metres East of Hamilton St,Hot Dogs
C20,49.286538400086101,-123.118158491193000,vendor_food,open,The Fryinig Pan,Authorised Parking Meter West Side of 500 Burrard St,Fried Chicken Sandwiches
DT41,49.283102350331802,-123.122696998340004,vendor_food,open,The Juice Truck,South Side of 900 Robson - 6 Metres East of Burrard St,Juice and Smoothies
C6,49.283031999999999,-123.109452000000005,vendor_food,open,The Juice Truck,Authorised Parking Meter West Side of 300 Cambie St,Juice and Smoothies
DT72,49.273835888687202,-123.121519625651004,vendor_food,open,The Loving Hut,East Side of 1200 Pacific Boulevard - 10 Metres South of Davie St,Vegetarian and Vegan
C22,49.287858000000000,-123.119361999999995,vendor_food,open,The Praguery,Authorised Parking Meter - 1000 W Hastings St,Central European Desserts
C19,49.288016431788698,-123.119509663146999,vendor_food,open,The Reef,Authorised Parking Meter - East Side of Thurlow St - North of W Hastings St,Caribbean
DT47,49.272850160917400,-123.119509851201002,vendor_food,open,V Dub Dogs,Foot of Davie St - 2 Metres South of Marinaside Cres.,Hot Dogs
DT06,49.283084042815403,-123.122660630477995,vendor_food,open,Van Dog,South Side of 900 Robson St - 12 Metres East of Burrard St,Hot Dogs
GM04,49.282314404316999,-123.118066770004006,vendor_food,open,Van Dog,South Side of 600 W Georgia St - 6 Metres East of Granville St,Western
GM11,49.279745514680300,-123.122119558315006,vendor_food,open,Van Dog,East Side of 900 Granville St - 75 Metres South of Smithe St,Hot Dogs
C1,49.286902642864497,-123.117533501725006,vendor_food,open,Vie Niapolotan,Authorised Parking Meter - West Side of 400 Burrard St,Italian Cuisine
C24,49.285493728805498,-123.122541268297994,vendor_food,open,Vij's Railway Express,Authorised Parking Meter North Side of 1000 W Georgia St,Indian Cuisine
DT31,49.284522117000797,-123.115175231668999,vendor_food,open,Yokabai,West Side of 500 Granville St - 10 Metres South of West Pender St,Burgers and Fries
